Geneid,SRX1392948,SRX1392949,SRX1392950,SRX1392951,SRX1392954,SRX1392955,SRX4340129,SRX4340130,SRX4340131,SRX4340132,SRX4340133,SRX4340134,SRX8537506,SRX8537507,SRX8537508,SRX8537509,SRX8537510,SRX8537511
STMUK_2617,7.756021606226957,7.910512324484127,8.764117577607504,8.347489512931991,6.1317533875390895,6.062345119384289,5.884934164033692,5.877043308156497,5.947206858976132,6.090943984312893,5.948470444605122,5.995463600121457,5.978512720699272,5.996197048279461,5.787211015400156,5.776283177251601,6.1253388830338045,6.052869222129872
STMUK_2618,6.56288756071122,6.907140367528401,7.5278338462795125,7.3327694109461845,6.366126375600513,5.4511767238887785,4.2426734753523085,4.0538432547527234,4.695943309463383,4.427677500700795,4.547400877731278,4.5040145847494415,3.077543924049844,2.4037545846244384,2.576310572006734,1.954637882559828,3.0571936610199097,2.792722892015758
STMUK_2619,2.043216869039862,2.2772101118851134,1.5393268753483873,3.131673417759392,1.0020015808973408,0.0,1.4352826857964365,1.0823709273014657,1.3980492936258322,1.2081460383959146,1.0716007204703744,1.2771243229567522,1.3543354717880698,1.4276220071791128,1.2870986993549778,1.3705147547912941,1.7352110621935175,1.3740450955057857
STMUK_2620,2.5409708063215213,2.5018046923053943,1.617270054473019,3.2240713292550924,2.3847686391636533,1.3084669836113518,0.890944069028348,0.9857654879231228,1.24935201759861,0.9408555884024528,0.9756650753414142,0.4850459845273237,0.9738289143379626,0.6398448868363794,1.4504490464761255,1.132451764653465,1.6331051293982866,1.2269537548635652
STMUK_2621,3.6957837195948966,3.777759698868144,2.8171266459102484,3.734900066787781,0.9845454446524616,1.3449758940180228,1.594480788481124,1.9240399937860688,2.3420493373308355,1.9748521033731825,1.8018332469237612,1.749282008830935,3.9121169130751117,3.789899399139464,4.003307048717047,3.5271710855367675,3.5134198372877137,3.544596947632044
STMUK_2622,3.0768960655499704,2.938679768630557,1.7982260763158306,2.7615926064532688,1.7610010265484946,0.0,0.0,0.7361105106074085,1.7390218607273629,1.029116907092774,1.8580569666036064,0.0,0.28475073949348245,0.5594901400218628,0.575587270649246,0.34467443404260906,0.0,0.3252479083612692
STMUK_2623,2.8866658548747486,3.3438524063735606,2.372329559630101,3.2825822980819126,1.8438578530089857,1.9959563107951108,1.570560894154269,1.4996785198905769,1.8666206692754583,1.719707653999444,1.7120491018912465,1.86669936254108,1.4089707157265146,1.3450678943510532,1.4520123122007556,1.3001047245829316,1.492709676356356,1.2339805248578564
STMUK_2624,2.5899145003818256,2.1498186664247303,1.5152292200764257,3.241132776670084,0.9229586269967062,0.0,2.2974703886166563,2.2462393612642475,2.77509675403006,2.5554803039767986,2.4409547582114794,2.6650021205614327,1.353138848941255,1.4732965407798702,1.4576660893037947,1.5473430918911395,1.9164799937889758,1.3318647049700925
STMUK_2625,3.2379703277953573,2.9542767532155363,2.173912909358941,2.9176528760618528,2.284134483154708,1.5995917686084022,2.8296228458317505,3.1839630580855216,3.0461002686172884,3.1713287322505517,3.4725426149355982,3.5160588062305727,1.7214354843376127,1.6809916073813564,1.6252389853971785,1.5150141436463254,1.4954971056534847,1.9127416893895128
STMUK_2626,4.941853820236906,5.125031929391562,4.33902818982713,4.951722522275092,3.083321593926539,2.9949295729064693,3.470405760820588,3.8268770952590083,4.485686936456419,4.184770855186697,4.3819398595306405,4.224002267846808,3.02331861251035,3.765435165622924,3.52132559798047,3.2955259293100645,3.7931365325743536,3.7902509467658136
STMUK_2627,3.5794338765584244,4.367204753103201,4.243548494295868,4.775836589172126,3.914118490750092,3.0676233653808267,2.8890683235878094,3.2962039790548383,4.043969544591803,3.810299826796752,3.6551881631330456,3.952948983380892,2.2798234013599648,2.8288128712835827,2.6815413426975283,2.3145127808475467,1.970546336199424,2.349549657120489
STMUK_2628,4.445135637504257,4.88996457423124,4.212285203029135,4.8351263928840265,3.3221689999345574,2.589142733348596,3.4970698814389576,3.684853754421829,4.1000624236842516,3.911735507018839,3.95184875867024,4.219107127042405,2.9696260708793303,2.984803355627406,2.9222648744618636,2.6639517490083886,2.793400351672449,2.67329401753866
STMUK_2629,2.535674365993692,1.761086730239262,1.1270655263262201,2.675248594681764,2.617797168542415,1.8857516777579877,1.6225863825158942,1.2818493646324125,2.295901328836292,2.2419042796093747,2.512084003740974,1.2979708588353438,1.4438694670551642,1.4318622287919558,2.1172640826220044,1.8134237051369035,2.421484497108505,1.8228315331795903
STMUK_2630,2.8855534652757595,2.612107997031014,2.539792915057577,3.3029421217593096,0.0,2.2767309523670125,2.743284014644397,2.6577094983640026,2.9440025003280343,3.0608355838916363,2.8157644076703514,3.0137819743374687,0.6187848575610835,1.012555890891054,1.2350238332797936,0.4127243052858832,0.8566902977869921,1.2609805171071111
STMUK_2631,6.261772984980128,6.464255670579437,5.617521645091083,6.148983788245831,4.177882545915268,4.390912364753,4.8545260785305056,4.958839192000622,5.394770266360394,5.503095823598951,5.659088550290872,5.544752818591845,5.138022828412587,5.229752518917152,5.272009484131176,5.038557215041351,5.12048814001987,5.18151724837759
STMUK_2632,5.893583728836372,6.26806570946234,5.719068249083391,6.223795226677048,3.4737978910308485,4.5686597952247725,5.34436981352571,5.293770404280007,5.915509194919371,5.699305220072207,5.5306254467046045,5.917907761549745,4.2925947513195855,4.424617924021628,4.462180875141416,4.231189746031535,4.311148910822312,3.9275164427081215
STMUK_2633,9.161640041045311,9.366713195608494,8.519818259757773,8.581387017076711,8.61391734976367,8.788474918806111,6.932402744502182,6.983617802130554,7.218249098431145,7.267150016679666,7.242498703089686,7.088172930731555,7.057866996137407,7.122638085974379,6.962436681301523,7.233126557510937,7.014458559861042,7.212017885887329
STMUK_2634,4.13296068564674,4.4353643034580665,4.097555160602848,4.645093633714813,3.0035009462857802,4.0228665699558,3.2512278963094565,2.837200983573865,4.144176066215042,4.025743173199763,4.197927011096573,4.1536382884073015,4.305466756813086,4.216935147109687,4.324337824848574,4.075214322598015,4.220019714335239,4.561073986309868
STMUK_2635,4.531203753346541,4.465654584477073,4.584855780924495,4.811132947466316,3.0976101663707087,4.266295675406819,3.2943838146915168,3.4737871398807614,3.682187741538848,3.3991602669975602,3.5604885665803887,3.2609004988007384,3.3770416753601737,3.254612854749053,3.180578129355455,3.534554769782996,3.302161549966929,3.490779113999071
STMUK_2636,5.050154830410023,5.355441200278784,4.997430888588053,5.205657214970652,2.8974721694208885,3.2419516771381,4.058645696973751,4.344923397421462,4.3550571634871815,4.5316604092417805,3.744594590526277,4.009976592764206,2.033152240310614,2.7561782399434667,3.1062911637688018,2.4735171804404072,2.9922868602199357,2.7662960703160144
STMUK_2637,4.3696530610533815,4.450313479094701,4.175311269390713,4.37829049012971,4.523909424034511,3.6144843744862913,3.7659705542165463,3.729193068112077,4.10401783773605,4.166624038019829,4.003028166081381,4.0196275154471985,3.389731114170514,3.580614527202888,3.3263856481573595,3.3472351475064506,3.320092352272052,3.4792372079746685
STMUK_2638,4.544309057880072,4.062830857868988,3.8049884776380662,4.5611697906806015,3.460805171855308,2.170243059409568,3.5774475412020723,3.988637914965957,4.0212915554888,3.5283017161282633,3.8369369298205354,3.8342660148664867,2.5168403369142958,3.23811095792631,2.7331009809865145,2.7340470161853156,3.0672595315044715,2.979405692431899
STMUK_2639,3.14533162801046,3.2717048768552486,2.9580702323856607,3.239739965146032,1.893336006991971,1.944297243921564,2.959830070038964,2.629168745892128,3.355469102174645,3.2527246100326224,2.8859643413493696,3.3102831223016005,3.300826646101525,3.5280011850362767,3.5341647612918603,2.9857356522722136,2.943440260689544,3.1440928146736447
STMUK_2640,3.35896750507065,3.733007442930447,3.323891992817201,4.0488167990179305,3.2397857811871766,3.535553098480197,2.6256748763004176,3.0646553605279885,3.3368405424681877,2.977937908605547,3.2284286914467635,3.1577489454895242,3.5357794399540965,3.4562387747491803,3.5345126384115964,3.2979042466965125,3.0899836827647413,3.3847186644755225
STMUK_2641,3.425718327502015,3.5752901455100914,3.622301918514194,3.667599818391353,1.9434023651843075,0.0,3.216082472432564,2.52547956233178,3.3622711851268905,3.0769827921704844,3.3759008803794357,3.1828135736630925,0.3333257579744128,0.6455336497337848,0.0,0.9740654616902572,0.7045389884978722,0.0
STMUK_2642,3.3055986294671715,3.4539041266844253,2.5942074461800244,3.5825868084213783,2.8095033101908564,2.2097738793694828,2.0740234147700245,2.5704329681503117,2.7620297409965646,3.0697238693258844,2.7432406370745155,3.0743787351234046,2.0835323391533147,2.096683342532601,2.324320967811986,2.031668286357646,1.9230521137135757,1.9134727211896647
STMUK_2643,2.4069168286504317,2.8689531384347737,0.9403622136951406,2.8430482182420667,2.8836803479888165,1.6921600657142015,1.0234527758383107,0.6713183538109826,1.4511693375583854,1.6249939135398153,1.1166004328937569,2.208836712757644,0.9790074666450644,1.1795518892340442,0.9052070410597772,0.8802790896656141,0.6673110051703206,0.9262749680816722
