,gene_id,database,kegg_id
14654,STM3597,KEGG_reaction,R00115
14655,STM3598,KEGG_reaction,R00485
14656,STM3603,KEGG_reaction,R00010
14657,STM3612,KEGG_reaction,R01541
14658,STM3619,KEGG_reaction,R02889
14659,STM3635,KEGG_reaction,R11204
14660,STM3635,KEGG_reaction,R11205
14661,STM3644,KEGG_reaction,R10127
14662,STM3646,KEGG_reaction,R00465
14663,STM3646,KEGG_reaction,R01388
14664,STM3646,KEGG_reaction,R01392
14665,STM3646,KEGG_reaction,R01739
14666,STM3655,KEGG_reaction,R03654
14667,STM3660,KEGG_reaction,R01639
14668,STM3661,KEGG_reaction,R00878
14669,STM3661,KEGG_reaction,R01432
14670,STM3664,KEGG_reaction,R02108
14671,STM3664,KEGG_reaction,R02112
14672,STM3664,KEGG_reaction,R11262
14673,STM3665,KEGG_reaction,R01215
14674,STM3668,KEGG_reaction,R02637
14675,STM3668,KEGG_reaction,R02639
14676,STM3674,KEGG_reaction,R01901
14677,STM3674,KEGG_reaction,R07127
14678,STM3675,KEGG_reaction,R07125
14679,STM3676,KEGG_reaction,R03244
14680,STM3677,KEGG_reaction,R05850
14681,STM3680,KEGG_reaction,R00711
14682,STM3683,KEGG_reaction,R08219
14683,STM3685,KEGG_reaction,R02704
14684,STM3686,KEGG_reaction,R02703
14685,STM3694,KEGG_reaction,R00196
14686,STM3697,KEGG_reaction,R05608
14687,STM3699,KEGG_reaction,R00586
14688,STM3700,KEGG_reaction,R00842
14689,STM3700,KEGG_reaction,R00844
14690,STM3704,KEGG_reaction,R01518
14691,STM3708,KEGG_reaction,R01465
14692,STM3709,KEGG_reaction,R00371
14693,STM3710,KEGG_reaction,R05176
14694,STM3714,KEGG_reaction,R01996
14695,STM3717,KEGG_reaction,R01994
14696,STM3718,KEGG_reaction,R01997
14697,STM3724,KEGG_reaction,R04658
14698,STM3724,KEGG_reaction,R05074
14699,STM3724,KEGG_reaction,R09763
14700,STM3725,KEGG_reaction,R03035
14701,STM3730,KEGG_reaction,R03269
14702,STM3730,KEGG_reaction,R04231
14703,STM3731,KEGG_reaction,R02100
14704,STM3731,KEGG_reaction,R11896
14705,STM3733,KEGG_reaction,R01870
14706,STM3737,KEGG_reaction,R06363
14707,STM3739,KEGG_reaction,R00382
14708,STM3740,KEGG_reaction,R00332
14709,STM3740,KEGG_reaction,R02090
14710,STM3742,KEGG_reaction,R00336
14711,STM3742,KEGG_reaction,R00429
14712,STM3767,KEGG_reaction,R05605
